year,city,country,avg_temp
1820,Austin,United States,18.83
1821,Austin,United States,20.75
1822,Austin,United States,25.48
1823,Austin,United States,19.34
1824,Austin,United States,19.90
1825,Austin,United States,20.15
1826,Austin,United States,19.87
1827,Austin,United States,20.52
1828,Austin,United States,20.02
1829,Austin,United States,19.71
1830,Austin,United States,20.39
1831,Austin,United States,18.96
1832,Austin,United States,19.55
1833,Austin,United States,20.03
1834,Austin,United States,20.22
1835,Austin,United States,18.35
1836,Austin,United States,18.75
1837,Austin,United States,19.34
1838,Austin,United States,18.52
1839,Austin,United States,19.38
1840,Austin,United States,19.50
1841,Austin,United States,19.54
1842,Austin,United States,19.81
1843,Austin,United States,19.56
1844,Austin,United States,19.69
1845,Austin,United States,19.43
1846,Austin,United States,20.00
1847,Austin,United States,19.15
1848,Austin,United States,19.38
1849,Austin,United States,19.96
1850,Austin,United States,19.77
1851,Austin,United States,19.86
1852,Austin,United States,19.60
1853,Austin,United States,18.96
1854,Austin,United States,19.53
1855,Austin,United States,19.23
1856,Austin,United States,19.03
1857,Austin,United States,19.47
1858,Austin,United States,19.68
1859,Austin,United States,20.01
1860,Austin,United States,19.99
1861,Austin,United States,20.30
1862,Austin,United States,20.26
1863,Austin,United States,19.83
1864,Austin,United States,19.40
1865,Austin,United States,19.87
1866,Austin,United States,19.82
1867,Austin,United States,20.62
1868,Austin,United States,19.67
1869,Austin,United States,19.24
1870,Austin,United States,19.91
1871,Austin,United States,20.24
1872,Austin,United States,19.52
1873,Austin,United States,19.44
1874,Austin,United States,20.15
1875,Austin,United States,19.59
1876,Austin,United States,19.63
1877,Austin,United States,19.38
1878,Austin,United States,19.72
1879,Austin,United States,20.35
1880,Austin,United States,19.41
1881,Austin,United States,19.81
1882,Austin,United States,19.90
1883,Austin,United States,19.85
1884,Austin,United States,19.64
1885,Austin,United States,19.26
1886,Austin,United States,19.25
1887,Austin,United States,19.74
1888,Austin,United States,19.14
1889,Austin,United States,19.29
1890,Austin,United States,20.17
1891,Austin,United States,19.36
1892,Austin,United States,19.65
1893,Austin,United States,19.94
1894,Austin,United States,20.02
1895,Austin,United States,19.02
1896,Austin,United States,20.23
1897,Austin,United States,20.02
1898,Austin,United States,19.51
1899,Austin,United States,19.50
1900,Austin,United States,19.64
1901,Austin,United States,19.73
1902,Austin,United States,20.38
1903,Austin,United States,18.58
1904,Austin,United States,19.85
1905,Austin,United States,19.28
1906,Austin,United States,19.60
1907,Austin,United States,20.63
1908,Austin,United States,20.33
1909,Austin,United States,20.54
1910,Austin,United States,20.23
1911,Austin,United States,20.57
1912,Austin,United States,19.20
1913,Austin,United States,19.12
1914,Austin,United States,19.19
1915,Austin,United States,19.85
1916,Austin,United States,20.50
1917,Austin,United States,19.88
1918,Austin,United States,19.92
1919,Austin,United States,19.08
1920,Austin,United States,19.56
1921,Austin,United States,20.91
1922,Austin,United States,20.37
1923,Austin,United States,20.10
1924,Austin,United States,19.37
1925,Austin,United States,20.51
1926,Austin,United States,19.65
1927,Austin,United States,21.23
1928,Austin,United States,19.98
1929,Austin,United States,19.69
1930,Austin,United States,19.53
1931,Austin,United States,20.17
1932,Austin,United States,19.78
1933,Austin,United States,21.39
1934,Austin,United States,20.91
1935,Austin,United States,20.35
1936,Austin,United States,19.35
1937,Austin,United States,19.96
1938,Austin,United States,20.65
1939,Austin,United States,20.67
1940,Austin,United States,19.31
1941,Austin,United States,19.94
1942,Austin,United States,19.81
1943,Austin,United States,20.03
1944,Austin,United States,19.86
1945,Austin,United States,20.47
1946,Austin,United States,20.37
1947,Austin,United States,19.82
1948,Austin,United States,20.32
1949,Austin,United States,20.23
1950,Austin,United States,20.74
1951,Austin,United States,20.76
1952,Austin,United States,20.06
1953,Austin,United States,20.61
1954,Austin,United States,21.37
1955,Austin,United States,20.72
1956,Austin,United States,20.93
1957,Austin,United States,20.18
1958,Austin,United States,19.39
1959,Austin,United States,19.52
1960,Austin,United States,19.47
1961,Austin,United States,19.66
1962,Austin,United States,20.55
1963,Austin,United States,20.47
1964,Austin,United States,20.20
1965,Austin,United States,20.23
1966,Austin,United States,19.58
1967,Austin,United States,20.34
1968,Austin,United States,19.15
1969,Austin,United States,19.95
1970,Austin,United States,19.55
1971,Austin,United States,20.82
1972,Austin,United States,20.10
1973,Austin,United States,19.66
1974,Austin,United States,19.93
1975,Austin,United States,19.93
1976,Austin,United States,19.04
1977,Austin,United States,20.30
1978,Austin,United States,19.55
1979,Austin,United States,19.14
1980,Austin,United States,20.30
1981,Austin,United States,20.32
1982,Austin,United States,20.39
1983,Austin,United States,19.20
1984,Austin,United States,20.62
1985,Austin,United States,20.07
1986,Austin,United States,20.56
1987,Austin,United States,19.73
1988,Austin,United States,20.28
1989,Austin,United States,19.99
1990,Austin,United States,20.93
1991,Austin,United States,20.22
1992,Austin,United States,20.07
1993,Austin,United States,19.72
1994,Austin,United States,20.50
1995,Austin,United States,20.35
1996,Austin,United States,20.78
1997,Austin,United States,19.73
1998,Austin,United States,21.35
1999,Austin,United States,21.35
2000,Austin,United States,21.12
2001,Austin,United States,20.35
2002,Austin,United States,20.30
2003,Austin,United States,20.37
2004,Austin,United States,20.45
2005,Austin,United States,20.90
2006,Austin,United States,21.56
2007,Austin,United States,19.98
2008,Austin,United States,20.91
2009,Austin,United States,21.06
2010,Austin,United States,20.10
2011,Austin,United States,21.66
2012,Austin,United States,21.56
2013,Austin,United States,22.18
